0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p
RIPK4,1.533192,2.566820837617332e-221,TSPAN8,3.402265,0.0,SLC7A11,3.714164,0.0,EGR1,0.61007226,2.1214273640103315e-115,RPS18,0.5562298,0.0,PML,4.172835,0.0
MSMO1,1.3434383,1.1144553690726224e-218,GSTA1,2.1928642,0.0,KRT6A,2.6081839,0.0,APLP2,0.3707183,1.7200366586044995e-114,UQCRQ,0.67046297,0.0,HELZ2,5.8548536,0.0
KRT23,1.5051984,5.292962009377673e-218,SOX2,1.6819404,0.0,DSG2,1.7646235,0.0,LGALS3,0.3157947,1.781917448624135e-113,CST3,0.6555046,0.0,GBP4,6.2830048,0.0
SCD5,1.4885657,6.235303971985895e-218,RNASE1,2.5182407,0.0,SKIL,2.558888,0.0,DUSP1,0.76513654,2.9813163869556818e-109,RPL15,0.41826406,0.0,PARP9,3.1934268,0.0
CCND2,1.7913495,6.518741748032374e-215,FASN,1.7208563,0.0,ZFAS1,0.9909529,0.0,FAM214A,0.89715946,1.064738941899865e-108,RPL36,0.6825334,0.0,WARS,5.3946834,0.0
SEPT2,0.43774283,7.946756784604615e-211,SLC44A4,0.79331625,1.028692064104362e-307,FLNA,3.4557238,0.0,LGALS8,0.52532464,5.792991162256825e-108,VAMP8,0.5975911,0.0,IFI35,5.741424,0.0
CTDSPL,1.4816293,1.3925249949040645e-208,SLC4A4,2.2794137,4.232964443238914e-307,CXCL8,1.9870696,0.0,VSTM2L,1.0732007,7.679165451320093e-108,TXN,0.81918055,1.780893689519059e-303,NUB1,2.9723125,0.0
CAPN2,0.39792815,8.381769799056366e-205,PROM1,2.5010047,4.271984816200881e-291,ITGB1,0.698047,0.0,PERP,0.32377446,1.584558884570729e-107,RPS7,0.555456,2.1988415422421194e-300,MT2A,2.756846,0.0
WWTR1,1.0642039,3.4884742670625906e-199,SCD,1.6546108,1.5586820259615507e-289,SLC6A9,3.0755975,0.0,KLF5,0.42848682,2.9874982721540874e-107,UBB,0.65214354,2.867321687286156e-296,HLA-E,1.9021192,0.0
FDFT1,0.9841284,1.2447744819486102e-198,PRSS23,0.8679962,6.962567520205662e-289,SEPT11,1.9874653,0.0,TACSTD2,0.28744414,2.413007641373693e-104,ATP5ME,0.87062734,6.230786036716923e-296,OPTN,3.4299023,0.0
ARHGDIB,1.4951583,3.4642801280388985e-197,CST3,0.52282214,1.6619386739796184e-288,ADM2,4.0141454,0.0,ATP10B,1.6436232,9.498668887121387e-104,RPS16,0.46910524,1.3711986140504162e-290,STAT2,3.9505603,0.0
SLC6A14,1.202537,8.183499668986647e-197,SLC9A3R1,0.9375367,1.69820051962003e-288,LDHA,0.8461388,0.0,SCPEP1,1.0566504,9.31764456018778e-101,RPL12,0.49020475,1.9735517802079197e-290,LAP3,4.1758847,0.0
TF,2.1274934,5.823419647154693e-195,NR4A1,2.0594444,2.363908448850296e-284,YARS,2.16462,0.0,SELENOP,1.047957,7.890043349889757e-96,RPL23A,0.5675711,1.670193867802105e-288,RNF213,3.1501045,0.0
FAM171B,2.012639,5.8925880608939014e-195,INSIG1,2.109808,3.6696105287415657e-283,RNF187,1.3027147,0.0,ZMAT3,0.7366872,4.755538759719018e-95,MT-CO2,0.38648987,2.8003391122104094e-284,NMI,3.6742392,0.0
SRI,0.57868207,8.19795806571631e-189,CYB5A,0.7624484,7.37022194407675e-281,DSP,1.4446932,0.0,SGK1,1.0868993,1.8410888086706636e-94,RPS21,0.64188975,7.023516474876356e-277,BST2,4.9985948,0.0
RDH11,0.6957588,2.434388453948244e-183,SERPINA1,2.2674932,7.500785197556373e-270,C15orf48,2.728898,0.0,NET1,0.9146597,1.8590605374416356e-94,RPS27A,0.43063012,1.965278079978524e-273,CNP,3.5595398,0.0
TBL1XR1,1.0860862,2.4542512506456263e-181,FDPS,1.348671,1.796266959049976e-262,MARCKS,1.3354744,0.0,NFIA,0.83814317,5.425454424864082e-94,RPL29,0.71157956,3.108061695570361e-271,IFITM1,4.708118,0.0
FOSB,1.4501274,1.7215968742709244e-180,HLA-DQA1,2.5881631,2.2761135661755372e-254,MT2A,1.3941169,0.0,LOXL4,1.56449,2.2658843583128118e-92,COX6B1,0.7372764,5.515524290322138e-271,TRIM25,4.1868076,0.0
ADAM9,0.7062055,1.7259435094080505e-176,FDFT1,1.1324478,1.0429044225877848e-252,CEBPB,1.2897413,0.0,TRIM8,0.6374789,3.0482183637608036e-92,GSTP1,0.5385164,1.9145780111318706e-265,CX3CL1,3.8282988,0.0
MET,1.0507144,4.605605993028957e-176,GPX3,1.7471465,1.0057064362563262e-250,COPB1,1.3117516,0.0,IKZF2,1.1328233,2.605793299840097e-91,RPL7,0.47852784,1.0245562721924637e-264,IDO1,5.2711906,0.0
LASP1,0.6876424,7.257059573589912e-176,RDH10,1.301379,5.710150735266134e-249,ACTG1,0.5364089,0.0,CST3,0.3406361,3.2617160749716354e-88,RPL35A,0.47914833,1.769301940324894e-260,ZC3HAV1,3.1925657,0.0
WNT7B,1.3554305,8.242501526645983e-174,HLA-DPB1,2.418135,6.870997159457362e-247,SPIRE1,2.6452115,0.0,HES1,0.9501036,5.136332630265121e-88,SERPINB3,1.7085131,5.456204873959946e-256,TRIM14,3.1173687,0.0
STS,1.360426,1.0852766362600006e-173,SLC31A1,1.2974198,1.0064018188545669e-242,CEBPG,2.4666696,0.0,JUNB,0.4627101,2.8567745681524843e-87,RPL18A,0.66994447,3.8960716098701275e-255,IRF1,2.6219049,0.0
STT3B,0.8821248,9.587747253507812e-173,ST6GALNAC1,1.0562947,3.646437142160154e-240,ENO1,0.58152175,0.0,PDLIM5,0.48516688,3.089056825541661e-87,ROMO1,1.2038652,9.100071482900277e-255,RNF19B,3.8199592,0.0
RND3,0.9339116,1.8830653163786905e-172,BPIFA2,2.1562755,4.3369090911054436e-239,PIM1,3.113758,0.0,MTRNR2L12,0.3876978,5.622768233364781e-87,UBA52,0.5288663,1.8402367520756864e-254,ZNFX1,3.1157148,0.0
GXYLT2,1.5476182,2.5055404007350508e-172,MSMO1,1.4634874,1.12699189634068e-237,ADGRG1,1.9342215,0.0,ALDH1A3,0.5074648,6.54891826020247e-87,RPL13,0.49254537,2.096948860092059e-253,IL1RN,4.874425,0.0
CXADR,1.1181998,5.380264672408967e-172,NDRG2,1.5136507,4.203910154976879e-228,XPOT,2.443454,0.0,APOBEC3C,0.89889437,1.5072348860428854e-86,OST4,0.78493434,9.672084880643272e-252,SLFN5,2.1820161,0.0
FASN,1.3320962,2.7498197988742305e-169,SLC46A3,1.6253395,5.35465566169045e-228,PDZK1IP1,1.8169096,0.0,FOXQ1,1.1110377,3.6987445035345e-86,GSTA1,2.3915505,5.1188662111434176e-250,CD274,6.6508913,0.0
SYTL2,1.2863007,3.4198674954308136e-168,SLC43A2,1.8755298,2.1511192204952405e-227,MAP1LC3B,1.1293442,0.0,MUC1,0.5902781,4.280300996995977e-86,RPS11,0.42100197,7.416210625358475e-248,PSAT1,5.3621397,3.1943676199210023e-303
ASPH,0.6716606,1.9485181377792295e-167,SLC34A2,1.1062028,6.476700494553333e-226,APP,0.62984633,0.0,FER1L6,1.5214363,1.9425116563012192e-85,NDUFA2,0.95469564,7.991691905577593e-246,TRIM21,4.199994,1.8750327553342592e-297
DHCR7,1.4583393,2.0350538603818786e-167,SMIM31,1.9082124,6.942897618703147e-223,MARS,1.772533,0.0,NQO1,1.001567,2.8312409936736656e-85,SOD1,0.7216333,1.1802720090041111e-244,RTP4,5.0130043,2.3491974106491955e-295
SPTAN1,1.0886265,3.7978428740593117e-166,TMC5,1.2000488,1.8886995939833866e-221,ZC3H12A,2.0074701,0.0,FOXC1,0.9149574,5.105008369014299e-84,UQCRB,0.70270944,7.836458566104586e-244,TYMP,5.1907697,1.3513751191098904e-293
CYR61,1.3088821,7.247211117139833e-164,AQP5,2.2558935,5.597411884752839e-218,CSTA,1.7998446,0.0,PKM,0.20526049,9.674489783517014e-84,RPL10,0.45409393,3.4992990299194736e-241,RBCK1,2.7564602,2.7791821014525347e-293
CLU,1.3925631,2.447882133961699e-162,HLA-DMA,1.6555053,1.139280390307412e-215,HMGA1,1.2075958,0.0,ALDH3B1,1.2537323,1.979758181599981e-83,RPLP2,0.56009233,3.1168185746368716e-240,TMEM140,5.6933293,7.59987394076776e-289
SC5D,1.1289673,8.310441121135327e-161,IDI1,1.5419177,6.076899502315168e-209,CARS,2.0098772,0.0,SORD,0.8058844,2.3474359345477076e-82,RPL26,0.5854108,7.61586052361341e-238,PPM1K,4.5896125,1.2421001185438085e-288
HMGCS1,1.4847021,2.954687936531763e-160,LRG1,1.572059,4.3638663970064004e-207,H2AFZ,0.79442644,0.0,CCDC6,0.6902889,2.9460036955210723e-82,RPL14,0.42004013,1.1130466337799456e-236,PSMB9,3.7993214,1.623997941990116e-284
EFEMP1,1.3708506,2.69256057169229e-158,TSPAN13,0.92112386,6.13699125362138e-206,PDLIM7,2.498576,0.0,RHOB,0.49945053,5.430806214357408e-82,MT-ND3,0.34996724,4.8475798618298097e-234,PCGF5,3.3016915,2.598488692705202e-283
EPHA2,0.9075106,3.0487377360170845e-158,ADH1C,2.1293721,1.9442853137278584e-204,CST6,3.580494,0.0,TNFRSF21,0.5244212,6.400142024559489e-82,S100A6,0.6073563,5.632796538774964e-234,SLC7A5,4.959712,6.419018348334636e-282
AHR,0.8331723,7.298473094871089e-157,TM7SF2,1.8593049,9.131669197323384e-204,SEMA3C,2.2137525,8.27909639064083e-307,RDH10,0.86257356,1.9990505676399589e-81,RPS23,0.47143114,1.1324962075495725e-233,TNFSF10,1.6043569,1.7437846678006496e-281
TNFRSF21,0.7215906,7.380192469316747e-157,GOLM1,0.7560785,1.2240896362459575e-202,S100A2,1.1648028,6.431337452619248e-305,ANXA4,0.5331012,6.400368286581596e-81,LY6E,0.7982064,8.018469743116298e-232,SLC3A2,3.161143,2.607611017861784e-277
TPM4,0.39038184,7.4424300717129e-156,P4HB,0.61386436,1.5090774311178794e-202,ABCA1,3.056596,6.330366028511431e-302,RRM2B,0.79371554,2.708301736038454e-80,RARRES3,1.2268169,4.129289984921668e-231,ADAR,2.4383178,2.691703734265311e-273
ACTB,0.28487843,1.3804005858166066e-152,CLDN10,2.4832537,1.3807230414853036e-201,TINAGL1,1.535507,8.329691650589348e-301,CERS6,0.64948857,3.3488741723624764e-80,NPC2,0.63779956,1.544186861497703e-227,APOL2,3.521892,7.033866303441709e-271
TGM2,1.053665,2.530883085066494e-152,SERPINB3,1.3100647,2.0437120223403617e-199,FHL2,1.686712,3.0687751740426985e-300,MTRNR2L8,0.3465739,1.0807179343010445e-78,UQCR10,0.8928632,2.1658392258843445e-226,TRIM69,4.1021514,4.462461472378862e-270
NTN4,1.1804901,1.0325456126300554e-148,AKR1A1,0.9228053,2.6373181266384474e-198,WARS,2.2815814,3.806606075350242e-299,MT-ATP6,0.21952908,1.9278202735538671e-78,PPDPF,0.3864682,5.482330760705619e-226,BATF2,5.8367634,1.1133686808145531e-268
MARCKS,0.8941126,2.2148559086532166e-146,C3,0.6745283,1.0391738172188455e-197,TFRC,2.1163142,2.5578427781526854e-298,KTN1,0.31996122,3.548902243849462e-77,TMEM258,0.6230573,4.0997918531482855e-225,PLAUR,4.945193,1.952067620387119e-267
CEACAM6,0.82715154,4.941803789122051e-146,HSD17B2,1.9879481,1.088267864180387e-195,IARS,2.1235247,2.86315400609735e-298,EPHA2,0.6322367,2.1309998240879452e-74,NDUFB1,1.0566473,7.244804048146337e-224,TAP2,3.557736,6.814812651567228e-266
INSR,1.05698,5.892335479163369e-146,C9orf152,1.9209106,2.0549124925220407e-194,CDKN1A,1.1390114,6.945177178412036e-298,PPDPF,0.21422018,1.0288302054387284e-73,RPS3,0.45362574,3.5867918148809084e-218,TRIM22,1.5892652,3.124264044012816e-262
S100A10,1.1509166,1.4370525230248995e-145,HLA-DQB1,1.5719752,1.016497929432195e-189,STOM,0.7684789,1.709347380085864e-296,MDM2,0.8120992,2.2472300303797294e-71,BPIFA1,2.1443706,5.731888762518768e-214,CLIC4,3.3375032,2.847491892951248e-261
MYOF,0.6974632,2.4888770998568826e-145,TGM2,1.3569487,2.3656743235340593e-188,BTG1,1.4023912,2.0215416437020996e-296,MALAT1,0.3569774,2.3018081976696306e-71,RPL22,0.43276966,1.9774900421867303e-211,IFIT5,3.706028,3.7564425605149486e-260
IDH1,0.70254356,2.6641933430351825e-141,LYPD2,2.1253045,1.1947419535972054e-187,SET,0.45174912,1.689029163929508e-295,DDX17,0.31139302,5.553183245170167e-70,SELENOP,1.6419975,1.3736328601304356e-209,DTX3L,3.1249676,4.57879414361268e-257
SLC44A2,0.8363966,7.435167857780023e-140,NCOA4,0.6598264,1.833173526394862e-186,NFE2L1,1.285748,4.545792101284444e-288,LMO7,0.5370469,9.138956814397786e-70,HINT1,0.46456948,1.336937999085974e-208,BIRC3,3.4173877,3.640110996789064e-255
ATXN10,0.79751533,3.2547937453280478e-139,FAM3D,2.1270995,4.1058054862196214e-184,GPCPD1,1.8638093,5.608427041176543e-284,RALGAPA2,0.83536774,1.5055134629399555e-69,PPIA,0.33683765,8.830652644725381e-207,ASNS,4.6011567,4.1965665238456005e-250
