Goblet_STEAP4+_n,Goblet_STEAP4+_l,Goblet_STEAP4+_p,Club_DHRS9+_n,Club_DHRS9+_l,Club_DHRS9+_p,iavEpi_n,iavEpi_l,iavEpi_p,Basal_SERPINE1+_n,Basal_SERPINE1+_l,Basal_SERPINE1+_p,Basal_SERPINE2+_n,Basal_SERPINE2+_l,Basal_SERPINE2+_p,Goblet_RARRES1+_n,Goblet_RARRES1+_l,Goblet_RARRES1+_p,iavAT2_lip_n,iavAT2_lip_l,iavAT2_lip_p,Basal_IGFBP6+_n,Basal_IGFBP6+_l,Basal_IGFBP6+_p,iavClub_SAA1+_n,iavClub_SAA1+_l,iavClub_SAA1+_p,SupraB_KRT16+_n,SupraB_KRT16+_l,SupraB_KRT16+_p
MUC4,3.1384928,0.0,CTSC,2.0893815,1.9454872585393666e-234,SERF2,0.90104043,1.2397226024039883e-269,CDH3,2.6877565,0.0,FSCN1,4.972863,0.0,CXCL17,2.1464655,7.889425058948758e-128,HHLA2,5.8207703,2.574472077891348e-177,GPX2,4.2393146,5.550845405095202e-205,PDZK1IP1,2.6608932,1.3737136642185632e-103,THBD,5.032163,3.321544378601547e-65
ALDH1A3,2.0041966,0.0,TXNIP,2.0694296,4.5175375625076426e-234,MT-ND2,0.79025924,2.1622989016032746e-269,PHLDA1,5.4182796,0.0,ITGB4,5.03859,0.0,ALDH1A1,2.9415731,9.305918262640868e-128,MT-CO1,1.0060264,1.1067682943862385e-173,RPL27A,0.91548765,5.460198247021201e-201,RND3,1.6574311,7.800147026381722e-99,LRRC8A,3.181134,4.800072438044926e-65
CAPN13,3.6324267,0.0,TNFSF10,1.7558438,3.0470337114230002e-233,WFDC2,2.082664,1.3776824574482508e-268,PMEPA1,5.4366393,0.0,VIM,7.03813,0.0,HLA-DRA,3.2010567,2.176221878445372e-127,MT-CYB,0.9078181,1.1525645614035563e-169,EEF1A1,0.722779,2.2781192250387636e-198,SAA1,2.2020085,1.4484203479422951e-95,NECTIN1,3.566438,2.371895298867494e-64
MACC1,3.773925,0.0,SERPINB3,2.66852,1.6496085493358691e-223,MT-ND1,0.7464992,7.999277598489369e-252,PDLIM7,5.036663,0.0,SH3BGRL3,2.1746953,0.0,NR4A1,3.4799907,4.022976184067836e-126,MT-CO3,1.0604503,4.437628885872066e-167,RPL37A,0.8469229,1.0139474313278939e-197,RPS13,0.6682026,7.409127855360946e-95,SFN,3.6033523,4.5522927322773484e-64
AGR2,3.311437,0.0,STS,3.0111246,6.15772830890393e-223,H3F3A,0.8474726,1.9173386207290597e-244,FERMT1,5.6866193,0.0,MSN,5.5945907,0.0,GLUL,1.7778193,6.061575121736764e-126,BICRAL,5.2897725,4.0587811982450975e-165,S100A11,0.71259594,3.3967893431777258e-195,TCIM,3.3138165,3.5600723497884714e-93,TMSB4X,0.997819,1.0114573424618744e-63
OAS2,3.0572455,0.0,MX2,3.0335422,1.00381995699691e-221,MT-ATP8,0.8560452,9.988399166364924e-240,SERPINE2,6.9324827,0.0,LAMA3,5.8821387,0.0,CYP4X1,2.87671,2.2807747629086454e-125,FBXL20,5.1317816,3.4932592312420984e-162,IGFBP7,4.0210967,1.476568597341246e-192,C15orf48,2.953633,1.6475984734605554e-92,HES2,4.335832,3.1113064626023185e-63
TSPAN1,2.2750936,0.0,LGALS9,2.5689795,1.6377375687007865e-221,MTRNR2L8,1.0462863,3.3978277715653826e-235,TPM1,4.8552203,0.0,PEA15,3.409256,0.0,C3,2.2284284,1.0508448821332188e-120,ZNF609,3.1050477,5.271563734115307e-161,RPSA,1.2718736,1.536362788260562e-192,RPS12,0.71012133,3.774858898160247e-89,ITGB6,3.8988245,8.722136294128952e-60
SELENBP1,3.6607208,0.0,ASPH,1.8869963,5.7597612722097465e-217,MT-ND4L,0.8768048,4.945659267511723e-221,ITGB6,4.991059,0.0,COL17A1,5.862347,0.0,STEAP4,3.2983718,1.3112748747221562e-115,MT-ND2,0.8936636,2.8604258270702513e-160,RPL39,0.9119637,8.202789573846251e-192,BBC3,3.3230295,1.5883019560244881e-86,HSPB1,1.2547587,2.2389892852580297e-59
ST6GALNAC1,3.301183,0.0,GBP2,2.81467,1.7193878600126162e-214,LCN2,2.1439047,4.3806684799009657e-218,DKK3,6.353723,0.0,PDLIM7,4.830026,0.0,ELF3,2.3727841,2.027315902824642e-115,MT-ATP6,0.93833727,9.74152422254134e-160,RPL21,0.89898527,3.1368297515372003e-190,EDN1,2.8627906,1.0821784342935071e-85,TMBIM1,2.1357791,5.429627259063595e-59
CXCL17,2.462484,0.0,NOTCH3,2.8209894,9.648875650807894e-214,PPDPF,0.7579721,4.3574169507875834e-207,SLC7A5,5.859134,0.0,SERPINE1,6.8093305,0.0,GOLM1,2.4286387,2.394442803998458e-112,BTBD2,3.3125157,1.1577603395765633e-155,RPL4,1.1977131,1.5685253351613042e-189,NFKBIA,1.7516714,3.1227864154541073e-84,HIF1A,2.1181865,7.947667603212351e-59
