0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p
IQCG,2.105271,4.684594370621033e-241,ID1,2.03718,1.7934695061899278e-65,ITGB8,2.0714881,4.518678364110252e-44,S100A9,3.337551,1.1893645367858203e-88,HACD3,1.8764426,1.0787754997000334e-107,RPL38,0.6194728,1.8419590289295066e-31
CETN2,1.6735686,2.7458941250046757e-240,CYP4X1,2.0292656,2.2665213481428556e-65,S100A10,0.900038,3.3364788020735577e-43,RPL15,0.69723374,2.153847374800482e-88,CCDC34,2.590295,1.4350163329650254e-107,RPL30,0.59020114,3.714574185767652e-31
DNALI1,1.9030685,1.1279880765554885e-239,PKM,0.48682252,1.7848657428254588e-64,IGFBP3,1.6229941,5.4126835408368705e-42,TNFSF10,1.522324,2.7066285452563527e-88,PHF10,3.252495,1.1237731806361652e-106,RPS8,0.42651552,4.249573981059884e-31
C21orf58,2.9327836,1.6339057298624709e-239,RPL31,0.51061416,4.47536577452632e-64,CLDN4,0.69049674,1.4287430533350462e-41,RPL23,0.8289252,5.842487903988629e-88,RANBP9,3.2875419,1.6327992252675028e-104,COX7C,0.6069258,6.936606241157274e-31
UBXN10,2.7812972,1.1735598297947844e-238,CFL1,0.488592,8.17429486214705e-64,RAB32,3.0928915,2.5738783415187243e-41,RPL10,0.86735845,3.523183738682088e-87,SSRP1,1.7983739,3.045323987475129e-104,OASL,3.579459,8.0692599672891e-31
PRDX5,1.0002439,1.3686759567612693e-237,ATP5MC3,0.7852458,1.3553291580078714e-63,CLIC4,2.2369165,8.654353372883622e-41,TPM4,1.595094,1.2237338617476602e-86,MYB,3.3889508,9.135229550732532e-104,UBL5,0.60160786,1.790450685877116e-29
UFC1,1.5406938,3.108150033267712e-237,PPIA,0.523976,8.461537774859053e-63,MIR4435-2HG,2.2157338,4.790422807920833e-40,RPL13A,0.6854221,1.906741444109324e-86,CENPU,5.427982,3.059851280667681e-103,RPS21,0.82203645,2.69697085006925e-29
CLMN,2.2039292,1.1394936571820526e-236,RPL9,0.47543836,1.6489232272988113e-62,SDCBP2,2.4720373,9.60272725547361e-40,AGR2,1.8740488,5.8264012712494266e-86,PPIF,3.01654,5.960381484824491e-102,MT-ND4,0.573428,3.1316780884769485e-28
WDR78,2.2425544,2.9259031317719056e-236,RPL10A,0.5736168,2.8622279585863798e-62,CLIP4,1.8894827,6.985765317215322e-39,RPL30,0.8684226,1.1043330780748116e-85,PCM1,2.2136116,6.3784358991164656e-99,UBE2L6,1.3164515,4.532260455289122e-28
WDR38,2.9171891,1.293332445211003e-235,RPL21,0.5675157,6.1670289458552886e-62,KRT17,2.206602,9.440317288860888e-39,RPS18,1.128641,2.2707854615929237e-85,CDC20,6.859972,9.841600805420115e-98,MTRNR2L8,0.74441427,8.351696346882088e-28
