"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"AT2_IL32+","immuneBrush-Club","GDF15","TGFBR2",0.0844014759421035,0.02,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MultiC_OMG+","AT2_IL32+","GDF15","TGFBR2",0.0833224408507661,0.03,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"immuneBrush-Club","AT2_IL32+","GDF15","TGFBR2",0.0931085466511511,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"AT2_IL32+","AT2_IL32+","GDF15","TGFBR2",0.0994809957793503,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Brush-Club_TCN1+","AT2_IL32+","GDF15","TGFBR2",0.0900532904681269,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MultiC_OMG+","Brush-Club_TCN1+","GDF15","TGFBR2",0.083641749278645,0.02,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"immuneBrush-Club","Brush-Club_TCN1+","GDF15","TGFBR2",0.0934615337946695,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"AT2_IL32+","Brush-Club_TCN1+","GDF15","TGFBR2",0.0998554816773957,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"Brush-Club_TCN1+","Brush-Club_TCN1+","GDF15","TGFBR2",0.0903958492636887,0,"GDF15_TGFBR2","GDF15 - TGFBR2","GDF","Secreted Signaling","KEGG: hsa04350"
"MultiC_OMG+","immuneBrush-Club","INHBB","ACVR1B_ACVR2A",0.0338015549503761,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"AT2_IL32+","immuneBrush-Club","INHBB","ACVR1B_ACVR2A",0.0336844542174424,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"MultiC_OMG+","AT2_IL32+","INHBB","ACVR1B_ACVR2A",0.0353048181933849,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"AT2_IL32+","AT2_IL32+","INHBB","ACVR1B_ACVR2A",0.0351826992523834,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"MultiC_OMG+","Brush-Club_TCN1+","INHBB","ACVR1B_ACVR2A",0.0331874114707472,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"AT2_IL32+","Brush-Club_TCN1+","INHBB","ACVR1B_ACVR2A",0.0330723655246394,0,"INHBB_ACVR1B_ACVR2A","INHBB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04352"
"Ciliated_FOXN4+","MultiC_OMG+","WNT4","FZD3_LRP5",0.00482671206967806,0,"WNT4_FZD3_LRP5","WNT4 - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","immuneBrush-Club","WNT4","FZD3_LRP5",0.00335789528019184,0,"WNT4_FZD3_LRP5","WNT4 - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","AT2_IL32+","WNT4","FZD3_LRP5",0.00460094291348243,0,"WNT4_FZD3_LRP5","WNT4 - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","Brush-Club_TCN1+","WNT4","FZD3_LRP5",0.00358429665418897,0.04,"WNT4_FZD3_LRP5","WNT4 - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","Ciliated_FOXN4+","WNT4","FZD3_LRP5",0.00555504054319364,0,"WNT4_FZD3_LRP5","WNT4 - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","MultiC_OMG+","WNT4","FZD6_LRP5",0.00626188150706578,0,"WNT4_FZD6_LRP5","WNT4 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","immuneBrush-Club","WNT4","FZD6_LRP5",0.00595006122843836,0,"WNT4_FZD6_LRP5","WNT4 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","AT2_IL32+","WNT4","FZD6_LRP5",0.00571730467898175,0,"WNT4_FZD6_LRP5","WNT4 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","Brush-Club_TCN1+","WNT4","FZD6_LRP5",0.00589805250183022,0.02,"WNT4_FZD6_LRP5","WNT4 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","Ciliated_FOXN4+","WNT4","FZD6_LRP5",0.00574310856159554,0,"WNT4_FZD6_LRP5","WNT4 - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"MultiC_OMG+","MultiC_OMG+","WNT9A","FZD3_LRP5",0.00705947509140859,0.03,"WNT9A_FZD3_LRP5","WNT9A - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"MultiC_OMG+","Ciliated_FOXN4+","WNT9A","FZD3_LRP5",0.00812204519431611,0.01,"WNT9A_FZD3_LRP5","WNT9A - (FZD3+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"MultiC_OMG+","MultiC_OMG+","WNT9A","FZD6_LRP5",0.00907937625616711,0.01,"WNT9A_FZD6_LRP5","WNT9A - (FZD6+LRP5)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","AT2_IL32+","WNT4","FZD3_LRP6",0.00402339813082836,0,"WNT4_FZD3_LRP6","WNT4 - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","Brush-Club_TCN1+","WNT4","FZD3_LRP6",0.0034877304188816,0,"WNT4_FZD3_LRP6","WNT4 - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"immuneBrush-Club","Ciliated_FOXN4+","WNT4","FZD3_LRP6",0.00297856186973968,0.01,"WNT4_FZD3_LRP6","WNT4 - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Brush-Club_TCN1+","Ciliated_FOXN4+","WNT4","FZD3_LRP6",0.00351413144907542,0.02,"WNT4_FZD3_LRP6","WNT4 - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","Ciliated_FOXN4+","WNT4","FZD3_LRP6",0.00523611230251623,0,"WNT4_FZD3_LRP6","WNT4 - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","AT2_IL32+","WNT4","FZD6_LRP6",0.00500620509196469,0,"WNT4_FZD6_LRP6","WNT4 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","Brush-Club_TCN1+","WNT4","FZD6_LRP6",0.00574179772905969,0,"WNT4_FZD6_LRP6","WNT4 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"Ciliated_FOXN4+","Ciliated_FOXN4+","WNT4","FZD6_LRP6",0.00541385257320856,0,"WNT4_FZD6_LRP6","WNT4 - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"MultiC_OMG+","Ciliated_FOXN4+","WNT9A","FZD3_LRP6",0.00766878900998213,0,"WNT9A_FZD3_LRP6","WNT9A - (FZD3+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"MultiC_OMG+","Brush-Club_TCN1+","WNT9A","FZD6_LRP6",0.00840299386490835,0,"WNT9A_FZD6_LRP6","WNT9A - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"MultiC_OMG+","Ciliated_FOXN4+","WNT9A","FZD6_LRP6",0.00792158133861264,0.02,"WNT9A_FZD6_LRP6","WNT9A - (FZD6+LRP6)","WNT","Secreted Signaling","KEGG: hsa04310; PMID: 23209147"
"AT2_IL32+","MultiC_OMG+","TGFA","EGFR",0.100869620037256,0.04,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","immuneBrush-Club","TGFA","EGFR",0.104283767647013,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"MultiC_OMG+","AT2_IL32+","TGFA","EGFR",0.0608303113540998,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"immuneBrush-Club","AT2_IL32+","TGFA","EGFR",0.0598193431797415,0.03,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","AT2_IL32+","TGFA","EGFR",0.146366786644519,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Brush-Club_TCN1+","AT2_IL32+","TGFA","EGFR",0.14289131452732,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","Brush-Club_TCN1+","TGFA","EGFR",0.109278529767015,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Brush-Club_TCN1+","Brush-Club_TCN1+","TGFA","EGFR",0.10657376863443,0.04,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","Ciliated_FOXN4+","TGFA","EGFR",0.110721634151097,0,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Brush-Club_TCN1+","Ciliated_FOXN4+","TGFA","EGFR",0.107985484906101,0.03,"TGFA_EGFR","TGFA - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","MultiC_OMG+","TGFA","EGFR_ERBB2",0.0999754231590091,0,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"Brush-Club_TCN1+","MultiC_OMG+","TGFA","EGFR_ERBB2",0.0974757253073879,0.02,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","immuneBrush-Club","TGFA","EGFR_ERBB2",0.096739522597148,0,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","AT2_IL32+","TGFA","EGFR_ERBB2",0.0773772999416183,0.03,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","Brush-Club_TCN1+","TGFA","EGFR_ERBB2",0.0670098211134636,0.02,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","Ciliated_FOXN4+","TGFA","EGFR_ERBB2",0.0629044479739155,0.04,"TGFA_EGFR_ERBB2","TGFA - (EGFR+ERBB2)","EGF","Secreted Signaling","KEGG: hsa04012"
"immuneBrush-Club","AT2_IL32+","AREG","EGFR",0.155445912833508,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"AT2_IL32+","AT2_IL32+","AREG","EGFR",0.1544408837612,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
"Brush-Club_TCN1+","AT2_IL32+","AREG","EGFR",0.149772266032711,0,"AREG_EGFR","AREG - EGFR","EGF","Secreted Signaling","KEGG: hsa04012"
