0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p
MT-CO2,0.26013693,1.8006422330182434e-177,TSPAN1,0.80949134,5.601790092425438e-185,SH3BGRL3,1.0712742,0.0,SDC1,0.5474138,1.479807682503283e-60,EPHX1,0.6670249,3.156343673654909e-124,CXCL1,2.0202196,9.944157516171442e-120,DMRT2,6.811683,3.768071599584333e-83
COLCA1,1.7379422,6.958746959421979e-171,ANKRD36C,2.6725786,2.3362882799743983e-181,RPS18,0.84081185,0.0,GPNMB,1.6450169,8.435483926218274e-60,CST3,0.43356454,4.888475417939928e-123,TUBB,0.8627132,9.944157516171442e-120,MYB,5.806675,4.9332007613203675e-82
PLAC8,2.2673755,1.4674639161173675e-170,FUT2,1.594971,2.8285324667620766e-176,LDHA,1.1252528,0.0,CPD,0.48465332,9.295633944825428e-60,SCGB1A1,2.2264977,6.35290031649816e-122,B4GALT1,0.9001812,1.5504580832480325e-119,EPCAM,1.53844,3.0230141007212205e-80
VILL,1.5209262,3.63356561440958e-167,CAPN13,2.1406994,3.078862042161422e-174,RPS2,0.68324924,0.0,SERINC2,0.35175133,2.2256574726294477e-58,EPCAM,1.0896202,1.1010495162900155e-119,LAMC2,1.9275628,5.000733795508108e-119,CYB5A,0.8853764,1.2069242401539967e-78
ANXA11,0.55494565,3.48937045331688e-162,BPIFA1,1.8861338,3.5663759452304275e-173,GAPDH,0.76090175,0.0,GDF15,0.86811554,3.6138074030340796e-56,NUCB2,1.4777453,3.473775164444384e-117,NOTCH3,1.4319041,6.859153476712212e-116,YWHAQ,0.7855348,1.2521497374624592e-78
KLK13,2.4382672,2.2514635171777113e-161,CEACAM6,1.9337893,7.240918297597617e-172,CD109,4.200037,0.0,YPEL3,0.8075292,4.636519931379546e-55,C3,1.3239791,6.900842603209597e-116,LCN2,0.96687806,2.0740259405993453e-114,B3GNT2,2.9432254,7.88493276092509e-78
TACSTD2,0.37244672,1.0478808939030257e-158,HLA-DRA,1.9007636,1.5104148141179266e-171,EEF1A1,0.41563994,0.0,ASS1,0.8484052,2.955466438419171e-54,SELENBP1,1.4080502,4.000638679505928e-113,CP,1.2218928,5.059998263970773e-114,TPD52,1.8940594,1.3239432791941793e-77
EPAS1,0.8924693,7.907708212350818e-156,ZFP36,0.95945024,6.650115376224476e-171,RPS23,0.7180674,0.0,PRSS22,0.5268466,4.0200694225806656e-54,HLA-A,0.41712043,2.5345785708160933e-109,AGRN,1.3417673,4.441486732983918e-109,RASSF6,3.0052505,3.905230420929001e-76
PHACTR3,2.4385972,8.4875380496136e-155,JUN,0.94140726,1.5855703244754959e-168,TPT1,0.50892234,0.0,BRI3,0.550087,5.589522621724526e-54,LMO4,0.8047354,8.521588955517322e-109,TNFRSF12A,2.0455754,9.161641827542015e-107,SEC14L1,1.80046,2.1166968656457383e-75
RPS6,0.30437678,4.2525077627975656e-150,CLINT1,0.63446605,6.214920325958853e-165,PLAT,4.4247055,0.0,IER5,1.0139649,1.4642033499861579e-53,CP,1.0927885,1.5008104067040812e-107,SEMA4B,0.95086664,3.2422018981566454e-106,BNIP3,2.7379649,6.8081466708247176e-74
CYP2F1,2.4322176,6.523390671164413e-149,BCL6,1.2722263,1.4979651960959995e-163,RPS6,0.55563486,0.0,PLAU,1.4243908,4.350823996135301e-53,CD63,0.34150663,6.642368197727285e-107,IFNGR1,1.2031201,1.3337758128603131e-105,PRDX5,0.65306526,1.8511043327027316e-73
ADH7,2.8584394,4.609235668509006e-148,DUSP1,1.2697496,5.1557954654568675e-160,RPL35,1.0378014,0.0,NTN4,1.0247887,4.350823996135301e-53,PSCA,2.0999293,6.089602451499114e-103,ITGB1,0.4946399,1.2653518691714055e-101,SOX4,1.1028528,7.68855986532891e-73
MT-ATP8,0.33788097,2.975727979252579e-146,NFIC,1.0076342,3.4444779665173428e-158,ARPC2,0.64393765,0.0,S100A9,0.7487844,1.1485181183602513e-52,HLA-B,0.72856545,1.5958607525544916e-102,IFITM3,0.781429,8.469250029931107e-100,TMPRSS11E,6.988384,1.3816217417692952e-72
RPL18A,0.45555362,4.621951827975512e-145,B4GALT5,0.7170436,1.2767591452982808e-157,RPL6,0.53892237,0.0,FBLN1,1.0776036,3.5432273713423414e-52,HLA-C,0.5160435,5.6887880355685705e-102,CXCL6,2.5848086,2.329984117788485e-98,ATP6V0B,0.92106956,1.484561525380698e-72
SQLE,2.2448938,7.713020173471938e-145,VMP1,0.64704,4.807496769836853e-156,KRT17,3.2028344,0.0,CEACAM1,1.1978492,9.391694383084193e-52,BPIFA2,2.2477727,1.2165784616760066e-101,SERPINB4,1.6660722,2.2020785636796506e-96,AP2B1,1.6713549,3.664588089871503e-70
TKT,0.7854119,3.929791528286965e-143,SLPI,0.6613086,1.7402710717819545e-155,RPS12,0.6648647,0.0,KLK10,1.015995,1.3282696491483788e-51,IFITM3,0.680999,9.759504289129992e-101,TGFB2,1.6436464,8.703177323755366e-93,STMN1,3.3051028,1.0967332968459152e-69
MGST1,0.39358237,2.001314655973875e-140,EGR1,0.763801,4.284959459636608e-152,RPL31,0.58588773,0.0,ZFAS1,0.49458852,1.9475272429635915e-51,RARRES1,2.0039272,8.193332479192948e-100,F3,0.86206967,6.308585493155463e-89,YWHAE,0.42478883,3.2118632521244635e-69
FKBP5,1.6587378,2.2480686912997855e-138,LY6E,0.69909704,1.3161409874135731e-151,RPS29,0.555582,0.0,KRT23,1.0002052,2.580079175226516e-51,GSTA1,1.7047509,5.916523288099074e-97,TRAM1,0.6633298,5.679070759098739e-87,FOXP1,2.5877228,2.8807442941989924e-68
