Goblet_0_n,Goblet_0_l,Goblet_0_p,Club_1_n,Club_1_l,Club_1_p,SupraB_2_n,SupraB_2_l,SupraB_2_p,Basal_3_n,Basal_3_l,Basal_3_p,SupraB_4_n,SupraB_4_l,SupraB_4_p,SupraB_5_n,SupraB_5_l,SupraB_5_p,Goblet_6_n,Goblet_6_l,Goblet_6_p,Goblet_7_n,Goblet_7_l,Goblet_7_p,Basal_8_n,Basal_8_l,Basal_8_p,Club_9_n,Club_9_l,Club_9_p,MultiC_10_n,MultiC_10_l,MultiC_10_p,Mixed_11_n,Mixed_11_l,Mixed_11_p,Mixed_12_n,Mixed_12_l,Mixed_12_p,Mixed_13_n,Mixed_13_l,Mixed_13_p,SupraB_14_n,SupraB_14_l,SupraB_14_p,SupraB_15_n,SupraB_15_l,SupraB_15_p,Mixed_16_n,Mixed_16_l,Mixed_16_p,Mixed_17_n,Mixed_17_l,Mixed_17_p,Club_18_n,Club_18_l,Club_18_p
TSPAN1,2.687704,0.0,GSTA1,4.668838,0.0,GPX2,3.4501624,0.0,CTSH,1.3207862,0.0,CD44,3.2498405,0.0,RRM1,4.202144,0.0,WFDC2,3.2433696,1.117543883962844e-112,GDF15,4.02286,1.907396004719082e-306,IFITM3,1.416731,0.0,VTCN1,3.0058966,2.1836139181646406e-147,SAXO2,10.453957,0.0,TRIM22,2.412811,0.0,HLA-DRA,4.714005,3.809014613429941e-299,CTSB,1.5049162,2.962686263437308e-293,TMPO,4.405283,1.6402457014454766e-251,SPTBN1,1.7280377,3.4550157307476903e-53,PSCA,2.446022,1.0211110753987256e-09,TESK2,7.20488,2.6156995590327533e-107,HIPK2,3.4090354,1.331352013284589e-31
STEAP4,5.535226,0.0,ALDH1A1,3.3983397,0.0,RPL5,0.8575284,0.0,TPT1,0.62960166,0.0,MYL9,4.9167304,0.0,ZWINT,5.6739397,0.0,PSCA,5.7225738,6.771370967376328e-111,VEGFA,3.302967,2.3311864787008337e-297,IL1RN,2.9616134,0.0,GSN,1.6560282,1.7839789635684614e-144,CCDC170,10.142046,0.0,SAMHD1,3.4250395,0.0,WFDC2,3.0849676,1.7810550410547577e-294,FERMT1,4.349954,1.174901993084549e-291,SERPINB13,3.8785262,6.601409795844909e-251,ATP2A2,0.8301096,2.2717865362709076e-51,RPS20,0.36930817,1.1350578144902753e-09,MT-ND5,1.4535729,4.1551275532803834e-101,ATP6V1A,2.7549052,1.7543172197016145e-31
MUC1,4.131946,0.0,PNPLA2,2.8225338,0.0,RPL11,0.81362146,0.0,EEF1A1,0.52869314,3.762861264778104e-305,MYO1B,2.5225964,0.0,CKS1B,4.2579784,0.0,PNPLA2,2.8610158,9.268188440928207e-111,B4GALT1,1.7781277,1.2840895653601156e-295,S100A2,2.3825905,0.0,PRSS22,2.757478,2.4484245903580057e-143,ARMC3,10.308991,0.0,CD74,2.7855122,0.0,MT-CO1,0.9710209,4.9531371320571106e-293,TAGLN,7.118214,3.188366519229502e-287,TYMS,5.856855,5.165352184585689e-249,EGFR,2.2394714,5.411004972580526e-51,MYL12B,0.36135474,1.1350578144902753e-09,MT-ND4,1.7160873,3.9110642512588763e-100,MT-ATP6,0.70895725,2.2099194262883247e-31
HLA-DRA,5.2428503,0.0,CLDN4,3.7699902,0.0,RPL23,0.8298598,0.0,JAG2,3.617684,3.2904290098080693e-304,TXNDC17,1.7126849,0.0,TOP2A,7.3915863,0.0,GPRC5A,2.5053144,3.139817387207826e-110,SLC3A2,2.822601,2.0471493781147323e-292,PTK2B,3.0732198,0.0,S100A9,2.3526957,4.2487172029795215e-141,AGR3,9.734872,0.0,MUC1,3.7602398,0.0,BPIFB1,4.308257,9.635210489141024e-289,VEGFA,3.7371798,1.8209268249467648e-278,AQP3,2.5749848,2.047676678523684e-248,DSP,1.1150616,6.187290903440423e-51,IGFBP6,2.4427624,1.6917020054015286e-09,FBXL20,5.86369,7.917130050978594e-97,ATP6V1G1,1.1249844,3.3382199166578132e-31
SELENBP1,4.791972,0.0,ALCAM,1.3552258,0.0,RPS3,0.930412,0.0,TIMP3,3.5286388,9.56255880488836e-298,MMP2,4.8331103,0.0,TMPO,4.2309127,0.0,PLEKHS1,4.7177687,8.196846413158657e-110,PCK2,4.6878476,5.0769383679588764e-290,KRT15,2.8845081,0.0,SERPINB1,1.8117253,8.978891798961009e-141,CAPSL,11.041488,0.0,AGR2,3.0544212,0.0,PIGR,4.664048,1.780351323778393e-278,IFIH1,3.731941,3.054355406362357e-271,CCNA2,6.887605,1.894193970652315e-244,GALNT2,1.5835754,1.620137100118786e-50,TIMP1,1.4889848,2.575351227763034e-09,BICRAL,6.147634,8.241782387673086e-97,PTMA,0.73244745,8.732537147259839e-31
EPHX1,2.533792,0.0,KLK11,3.3634493,0.0,RPL4,0.9229145,0.0,CAV1,3.7963953,4.658077403916154e-281,PFN1,1.0041335,0.0,CAV1,4.3898835,0.0,SLC34A2,5.0174966,5.061336403482141e-108,GARS,2.9795299,3.538988776453834e-289,PGK1,1.1787022,0.0,CXCL1,3.6145504,3.174849678485506e-136,DYDC2,11.00238,0.0,MUC4,3.9306703,0.0,CYB5A,2.2116652,5.713646891729241e-273,ISG15,4.623465,3.7370217085889747e-271,HNRNPA3,1.5758556,2.640761781021101e-243,HSPG2,3.3314004,1.6207416872709198e-50,RPL15,0.37415233,4.305694685777062e-09,BTBD2,3.40976,3.1843466465400232e-96,LRMP,4.694089,1.0385630253102992e-30
CAPN13,5.2631965,0.0,FUT2,4.1353126,0.0,RPS2,0.8741066,0.0,WNT4,2.8103507,1.4681110673945147e-280,TPM1,2.9629862,0.0,TK1,6.6576724,0.0,MAL2,2.4285932,3.292779637016965e-107,STOM,1.5770742,3.2899536305791495e-288,SPATS2L,1.2616999,0.0,NOTCH3,2.910812,3.826058948002939e-132,C11orf88,11.041377,0.0,SCNN1A,2.3779514,0.0,SAA1,3.9160717,2.3673057346160116e-272,IFIT3,3.792932,6.741927024513881e-270,PA2G4,1.5675963,9.633426058483336e-240,CD109,2.9437883,9.301200389273697e-50,LGALS1,2.4329007,4.735945658670228e-09,LUCAT1,5.954921,6.231380216126696e-96,MSI2,2.7124846,2.9191870804283876e-30
CYP4B1,4.9128327,0.0,SCNN1A,2.271083,0.0,RPL37A,0.7710227,0.0,CAVIN1,3.8774,6.887101039052789e-277,LOXL4,4.1141872,0.0,LMNB1,6.3496304,0.0,SCGB3A1,3.8376794,3.930019105440549e-107,ASS1,2.975049,2.028569196440429e-282,TIMP1,2.718037,0.0,CXCL17,2.4252853,5.853250325925632e-131,C9orf135,11.210464,0.0,IFI44,3.3573036,0.0,S100P,4.3610544,4.401340500916884e-271,CLIC4,3.7422538,4.794345635958507e-268,UBE2T,5.19613,1.8138403880705364e-237,GRN,0.83532697,2.47030306326864e-49,RPL23,0.43060392,4.735945658670228e-09,GABRB1,7.461434,2.0566435293319844e-95,PLEKHB2,1.9882693,3.2636704112876524e-30
SCNN1A,2.5742693,0.0,AGR2,2.8799655,0.0,SLC25A5,1.2453798,0.0,FSCN1,3.0389073,3.909977769497019e-267,BNIP3,3.506464,0.0,CEP55,7.095132,0.0,SLC15A2,3.9592383,4.575320313434116e-104,CSTB,1.511018,2.801168149467024e-281,DDX58,3.526309,0.0,CHP2,3.5488055,1.877750317268385e-126,KIF9,7.5778956,0.0,LY6E,1.6198739,0.0,MTRNR2L8,1.325695,2.2863429044646208e-265,TNFRSF12A,3.472605,1.6819343318910297e-267,ANLN,6.438832,3.8995843511539686e-237,AHNAK2,3.1511946,7.526818868961463e-49,SLC34A2,2.493347,4.932142439973377e-09,NFAT5,3.8892124,5.259037438443956e-92,TPD52,2.6769514,3.1938192568611754e-29
RARRES1,5.330684,0.0,TMEM59,1.1764826,0.0,RPSA,1.0251526,0.0,S100A10,2.017803,9.84067802988853e-262,MT2A,2.2275865,0.0,PPIA,0.7359476,0.0,FUT2,4.2920246,1.2056337912654792e-103,CX3CL1,4.401358,1.0772110452938326e-276,WNT10A,4.1843643,0.0,MARCKS,1.3085049,4.454863806304793e-124,LRRC46,10.5998745,0.0,PLSCR1,2.0479174,0.0,CXCL17,2.784931,2.823264534238691e-265,RTN4,1.4105446,3.1558012273677e-267,MT1X,1.7863067,5.757535441777259e-237,CCND2,2.817814,1.2465316733311175e-48,KRT5,2.089505,5.5263312661213554e-09,MT-ND1,1.4534117,1.2056403920720644e-91,KCNN3,8.741219,7.247494128088109e-29
